Time,Temperature(degC)
1998-01-01,30.1237562970417
1998-02-01,30.2011462700076
1998-03-01,30.1676343220036
1998-04-01,30.1805610470656
1998-05-01,30.1370972424019
1998-06-01,30.1176134062976
1998-07-01,30.0821464724657
1998-08-01,30.0942432682689
1998-09-01,30.0611464337605
1998-10-01,30.0143169123952
1998-11-01,29.991317451291
1998-12-01,29.9819268203363
1999-01-01,30.0027316954078
1999-02-01,29.9802677805831
1999-03-01,30.0198536198314
1999-04-01,30.0766582954221
1999-05-01,30.0488044552687
1999-06-01,30.0045364752048
1999-07-01,30.0152686886671
1999-08-01,30.0109998005192
1999-09-01,29.9654145031441
1999-10-01,29.9417316715892
1999-11-01,29.955341320503
1999-12-01,29.9347319812309
2000-01-01,29.9307804758956
2000-02-01,29.9529754638672
2000-03-01,30.0011463444407
2000-04-01,30.0560488072837
2000-05-01,30.0310972632431
2000-06-01,30.0225128918159
2000-07-01,30.0254145924638
2000-08-01,30.0456100091702
2000-09-01,29.9892682331364
2000-10-01,29.9907322581221
2000-11-01,29.9656340808403
2000-12-01,29.9873899878525
2001-01-01,29.9472683790253
2001-02-01,30.0069020341082
2001-03-01,30.0431706870474
2001-04-01,30.0722927930878
2001-05-01,30.0537313321742
2001-06-01,30.0281217993759
2001-07-01,30.0405851038491
2001-08-01,30.0909511659203
2001-09-01,30.017829262338
2001-10-01,30.030243664253
2001-11-01,29.980902471775
2001-12-01,30.0480491079935
2002-01-01,30.0591947974228
2002-02-01,30.0685368979849
2002-03-01,30.0829507967321
2002-04-01,30.0772925400152
2002-05-01,30.0791462968035
2002-06-01,30.0580730159108
2002-07-01,30.0541462223704
2002-08-01,30.0732926531536
2002-09-01,30.0644143453458
2002-10-01,30.0287069925448
2002-11-01,30.0183903391768
2002-12-01,30.0534144703935
2003-01-01,30.0657315882241
2003-02-01,30.1255369605088
2003-03-01,30.1225123707841
2003-04-01,30.1272678282203
2003-05-01,30.1022681259527
2003-06-01,30.0407316626572
2003-07-01,30.0400281952648
2003-08-01,30.0767354825648
2003-09-01,30.0537560439691
2003-10-01,30.0490000655011
2003-11-01,30.0135612673876
2003-12-01,29.9877803895532
2004-01-01,30.0089262427353
2004-02-01,30.0701465885814
2004-03-01,30.0977807021723
2004-04-01,30.0962682956602
2004-05-01,30.0399027754621
2004-06-01,30.055609503025
2004-07-01,30.0249269811119
2004-08-01,30.0622962765577
2004-09-01,30.0428536764006
2004-10-01,29.9816095119569
2004-11-01,29.9616091100181
2004-12-01,29.9928048482755
2005-01-01,30.0204390362995
2005-02-01,30.0284391821884
2005-03-01,30.1434384974038
2005-04-01,30.1297070014768
2005-05-01,30.0586340927496
2005-06-01,30.0716624190168
2005-07-01,30.0735612078411
2005-08-01,30.0556096518912
2005-09-01,30.0396584859708
2005-10-01,29.9535854432641
2005-11-01,29.9395852437833
2005-12-01,29.9699026712557
2006-01-01,29.9975857618378
2006-02-01,30.022195211271
2006-03-01,30.0559026206412
2006-04-01,30.0704877899914
2006-05-01,30.0667314482898
2006-06-01,30.0661014463843
2006-07-01,30.0847563208603
2006-08-01,30.0845369664634
2006-09-01,30.0753900295351
2006-10-01,30.0544633074505
2006-11-01,30.0074873761433
2006-12-01,30.0602443043779
2007-01-01,30.0746826916206
2007-02-01,30.0938291224038
2007-03-01,30.085219667016
2007-04-01,30.1051461568693
2007-05-01,30.0695365347513
2007-06-01,30.0634917468559
2007-07-01,30.061195559618
2007-08-01,30.0349264749667
2007-09-01,30.0410731617997
2007-10-01,29.9744150301305
2007-11-01,29.9866093333175
2007-12-01,29.9972195509003
2008-01-01,30.0114635932736
2008-02-01,30.050536439477
2008-03-01,30.0531216505097
2008-04-01,30.086170847823
2008-05-01,30.0731465409442
2008-06-01,30.0517073468464
2008-07-01,30.044487483327
2008-08-01,30.0416867884194
2008-09-01,30.0857073528011
2008-10-01,30.0091705322266
2008-11-01,29.942853974133
2008-12-01,29.9818292385194
2009-01-01,30.0139270317264
2009-02-01,30.0293903629954
2009-03-01,29.991585708246
2009-04-01,30.0752435451601
2009-05-01,30.0544631585842
2009-06-01,30.0537315554735
2009-07-01,30.0808048899581
2009-08-01,30.0839027963033
2009-09-01,30.1111217963986
2009-10-01,30.0430489889005
2009-11-01,30.0350976711366
2009-12-01,30.0535607314691
2010-01-01,30.0648533518721
2010-02-01,30.1575367253001
2010-03-01,30.1661214688929
2010-04-01,30.1747071801162
2010-05-01,30.1317312101039
2010-06-01,30.0694635902963
2010-07-01,30.0495854075362
2010-08-01,30.0376583936738
2010-09-01,30.0144913091892
2010-10-01,29.9890486554402
2010-11-01,29.9347804371904
2010-12-01,29.916902793326
2011-01-01,30.0364880073361
2011-02-01,30.0784872659823
2011-03-01,30.0432925340606
2011-04-01,30.0848786144722
2011-05-01,30.0729757169398
2011-06-01,30.0752442150581
2011-07-01,30.0440242860376
2011-08-01,30.0911506466749
2011-09-01,30.0634392715082
2011-10-01,29.9665606987186
2011-11-01,29.9849022097704
2011-12-01,29.9982196342654
2012-01-01,30.0298780487805
2012-02-01,30.0564878882431
2012-03-01,30.0645119271627
2012-04-01,30.0859759819217
2012-05-01,30.0957074421208
2012-06-01,30.1039512076029
2012-07-01,30.0871459216606
2012-08-01,30.0919261653249
2012-09-01,30.0828291730183
2012-10-01,30.0345123291016
2012-11-01,30.0037558951029
2012-12-01,30.0599026563691
2013-01-01,30.0872199081793
2013-02-01,30.0844145239853
2013-03-01,30.1050487239186
2013-04-01,30.1526097739615
2013-05-01,30.0817803359613
2013-06-01,30.077999431331
