Time,Temperature(degC)
2013-07-01,30.0697072098895
2013-08-01,30.0550982219417
2013-09-01,30.0603901188548
2013-10-01,30.0427070431593
2013-11-01,30.016950951553
2013-12-01,30.0464148544684
2014-01-01,30.2162928139291
2014-02-01,30.161244387743
2014-03-01,30.2561946961938
2014-04-01,30.3079265315358
2014-05-01,30.1605613150248
2014-06-01,30.1875124303306
2014-07-01,30.2461466719465
2014-08-01,30.0982438994617
2014-09-01,30.0946338188357
2014-10-01,30.0667315971561
2014-11-01,29.8949756901439
2014-12-01,29.8040972453792
2015-01-01,30.1014390898914
2015-02-01,30.0955608833127
2015-03-01,30.2377313381288
2015-04-01,30.2935121117569
2015-05-01,30.1675610798161
2015-06-01,29.8752232993521
2015-07-01,30.207390166492
2015-08-01,30.1722927186547
2015-09-01,30.1973169094179
2015-10-01,29.8257319752763
2015-11-01,29.9441956310737
2015-12-01,29.8899270406584
